Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,Al,Al 2-Sigma,Ba,Ba 2-Sigma,Cl,Cl 2-Sigma,Mg,Mg 2-Sigma,P,P 2-Sigma,S,S 2-Sigma,Si,Si 2-Sigma,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
13,Mining,34.26,0.00,29.05,,,"Mon Feb 10, 2025 - 23:17:08",User,1.5,ppm,,,,,,Mining,<LOD,11.3775,<LOD,11.3115,550.1174 , 19.4768,645998.5625 , 1819.5477,526.0375 , 9.7013,<LOD,11.7187,<LOD,171.1931,3297.1262 , 79.2663,1747.3379 , 24.6216,243886.5625 , 267.2427,<LOD,0.0000,684.8239 , 13.4923,5653.6685 , 86.3961,28.6996 , 2.3755,99.2618 , 2.5229,2782.2263 , 39.9418,702.6339 , 8.6246,<LOD,11.3917,88.4844 , 4.5530,<LOD,0.0000,<LOD,18.4735,186.8093 , 5.8025,<LOD,12.2015,857.8812 , 3.8659,<LOD,0.0000,<LOD,11.4724,88514.5391 , 407.6968,349.0399 , 9.2385,2602.9468 , 154.3693,<LOD,0.0000,174.0118 , 2.6424,994.5889 , 15.4130,274.6668 , 3.6379,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mining,34.04,0.00,29.20,,,"Mon Feb 10, 2025 - 23:18:08",User,1.5,ppm,,,,,,Mining,<LOD,10.2010,<LOD,10.1874,534.4001 , 17.2828,657857.3750 , 1649.6989,539.0114 , 8.7793,<LOD,10.5223,238.2853 , 100.6218,3190.0776 , 70.7171,1641.1105 , 21.4293,236500.2812 , 243.5892,<LOD,0.0000,716.0732 , 12.3075,5582.0708 , 77.2033,28.9197 , 2.1144,98.5489 , 2.2354,2700.8474 , 33.1338,738.3735 , 7.8560,<LOD,10.2863,94.5909 , 4.0833,<LOD,0.0000,<LOD,16.5421,187.4029 , 5.1740,<LOD,10.9409,905.1193 , 3.5519,<LOD,0.0000,<LOD,10.2496,83915.7969 , 365.7949,338.8649 , 8.2369,2747.5808 , 138.5589,<LOD,0.0000,164.2211 , 2.3307,1000.4274 , 13.8240,280.6613 , 3.2922,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mining,34.40,0.00,29.67,,,"Mon Feb 10, 2025 - 23:23:40",User,1.5,ppm,,,,,,Mining,<LOD,9.0245,<LOD,8.8198,457.5737 , 15.2937,715403.1875 , 1431.8235,420.4884 , 7.4986,<LOD,9.2974,<LOD,192.3382,2318.2668 , 64.4717,1379.9730 , 19.0686,195813.3750 , 228.9238,<LOD,0.0000,546.7532 , 10.4443,4822.4717 , 71.8791,22.1735 , 1.8802,78.4586 , 1.9764,2358.5869 , 31.6291,565.5985 , 6.6722,<LOD,8.9384,65.4022 , 3.5741,<LOD,0.0000,<LOD,14.6288,152.7791 , 4.5586,<LOD,9.6757,779.3711 , 3.1622,<LOD,0.0000,<LOD,8.8500,70677.8281 , 365.5872,302.1342 , 7.3549,2650.3762 , 136.4271,<LOD,0.0000,140.3711 , 2.0455,821.8241 , 12.1108,222.9607 , 2.8709,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mining,34.35,0.00,29.50,,,"Mon Feb 10, 2025 - 23:24:52",User,1.5,ppm,,,,,,Mining,<LOD,11.4429,<LOD,10.5977,538.0890 , 18.7162,653292.0625 , 1877.3684,489.1385 , 9.1638,<LOD,11.7934,<LOD,166.8361,2831.8650 , 72.9708,1722.8955 , 24.0423,245091.1094 , 262.9693,<LOD,0.0000,609.4194 , 12.5330,5543.1309 , 82.8792,26.9435 , 2.3125,104.1754 , 2.4730,3035.2324 , 40.4952,622.6879 , 7.9826,<LOD,11.7262,74.0274 , 4.3483,<LOD,0.0000,<LOD,18.5977,172.1295 , 5.5172,<LOD,12.2933,1122.4816 , 4.3047,<LOD,0.0000,<LOD,10.6584,80186.6875 , 388.3572,340.1928 , 8.9842,2791.9399 , 147.5566,<LOD,0.0000,170.9301 , 2.5378,939.1775 , 14.6793,295.6898 , 3.7706,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mining,33.76,0.00,29.28,,,"Mon Feb 10, 2025 - 23:25:54",User,1.5,ppm,,,,,,Mining,<LOD,12.6586,<LOD,12.4673,623.1715 , 21.5436,631142.5625 , 2002.9226,607.8643 , 10.8202,<LOD,13.0145,195.7730 , 119.3320,3374.6797 , 80.7564,1838.3427 , 26.5531,259977.7188 , 282.7589,<LOD,0.0000,787.5757 , 15.0158,6107.0059 , 90.8746,33.2187 , 2.6402,104.7508 , 2.7703,3847.1807 , 44.9766,746.4799 , 9.2928,<LOD,12.9340,88.0502 , 5.0940,<LOD,0.0000,<LOD,20.5227,210.6665 , 6.3932,<LOD,13.5473,1714.7814 , 5.6524,<LOD,0.0000,<LOD,12.5422,83750.5312 , 405.3289,402.4877 , 10.6286,2795.3157 , 154.8008,<LOD,0.0000,198.2723 , 2.9206,1166.9437 , 17.2680,286.6330 , 4.3726,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mining,30.69,,,,,"Mon Feb 10, 2025 - 23:27:01",User,1.5,ppm,,,,,,Mining,<LOD,12.5965,<LOD,11.9348,559.8263 , 20.7463,626996.9375 , 2088.5232,566.5044 , 10.5583,<LOD,13.0073,404.3836 , 121.4273,3466.1140 , 82.5609,1795.1161 , 26.4245,261897.5781 , 288.0872,<LOD,0.0000,687.7353 , 14.2395,5762.2456 , 90.0243,32.6149 , 2.5516,102.5175 , 2.6862,3409.9185 , 43.2502,674.4857 , 8.9662,<LOD,12.9759,84.3168 , 4.8221,<LOD,0.0000,<LOD,20.4917,203.0920 , 6.2595,<LOD,13.5757,1049.2906 , 4.4868,<LOD,0.0000,<LOD,12.2250,87587.5938 , 413.3393,354.6615 , 9.8734,2872.2649 , 158.4300,<LOD,0.0000,179.3693 , 2.8063,1020.5057 , 16.4094,292.9345 , 4.0156,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mining,14.33,9.28,2.63,,,"Mon Feb 10, 2025 - 23:28:48",User,1,ppm,,,,,,Mining,<LOD,14.7481,<LOD,14.3499,600.0753 , 25.4319,637590.6875 , 2298.9172,558.8016 , 12.5343,<LOD,15.2141,<LOD,232.9486,3097.3682 , 93.7192,1707.0691 , 30.8003,261958.7656 , 334.8378,<LOD,0.0000,709.4394 , 17.2641,5578.9805 , 105.0099,30.8690 , 3.0474,98.6849 , 3.1953,3218.7678 , 53.6716,687.4810 , 10.7972,<LOD,14.9222,86.4644 , 5.8064,<LOD,0.0000,<LOD,23.9320,206.2961 , 7.5905,<LOD,15.8460,1285.0477 , 5.9130,<LOD,0.0000,<LOD,14.5346,77910.6797 , 477.7611,351.0187 , 11.9224,2811.0608 , 182.6805,<LOD,0.0000,180.7290 , 3.3721,1046.0422 , 19.7943,285.6941 , 4.9417,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mining,116.61,18.39,29.55,29.24,29.87,"Tue Feb 11, 2025 - 00:42:21",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.7152,<LOD,1.4893,<LOD,2.6470,778882.8750 , 2456.6138,<LOD,1.3580,<LOD,1.8262,<LOD,64.4351,469.0966 , 5.8480,20.6326 , 3.8958,53675.4023 , 121.2781,<LOD,0.0000,<LOD,2.4849,795.5844 , 31.0371,<LOD,1.0817,36.9654 , 0.7765,526.1930 , 11.4260,<LOD,1.1909,<LOD,0.9729,12.8006 , 0.7850,<LOD,0.0000,<LOD,3.5269,<LOD,0.8168,<LOD,3.8309,444.3240 , 1.6605,<LOD,0.0000,2.1029 , 0.7407,8109.9780 , 34.6269,<LOD,2.2595,165.4190 , 9.8431,<LOD,9.5152,14.1868 , 0.5693,68.5252 , 2.8832,123.7688 , 1.4597,39384.9453 , 121.9281,2061.5178 , 42.0609,11260.7383 , 310.1441,810.8544 , 289.3564,<LOD,45.5678,35534.2773 , 2164.3745,1490.4712 , 94.0005,272.8602 , 26.5941,65836.3984 , 259.2887,,,,,,,,
22,Mining,112.99,38.77,0.00,29.64,29.64,"Tue Feb 11, 2025 - 00:46:34",User,1,ppm,,,,,20250131-1,Mining,1.8791 , 1.0802,1.7488 , 0.8765,<LOD,3.0437,798071.8750 , 2416.5261,<LOD,1.7352,<LOD,1.8739,146.7799 , 50.2065,151.7742 , 4.6091,21.8368 , 4.3162,51269.0977 , 141.4293,<LOD,0.0000,<LOD,2.9782,812.1096 , 35.3249,<LOD,1.2913,42.6274 , 0.9530,239.5225 , 10.4037,<LOD,1.3949,<LOD,1.0105,11.3592 , 0.9651,<LOD,0.0000,<LOD,3.5511,<LOD,0.9635,<LOD,4.8092,630.2902 , 2.3210,<LOD,0.0000,<LOD,1.6794,8843.8574 , 36.8002,<LOD,2.9900,163.6348 , 10.4048,<LOD,9.3592,15.8006 , 0.6908,66.5210 , 3.3599,137.1679 , 1.8845,40582.5273 , 127.5420,2234.5269 , 44.8984,13767.3096 , 347.0178,730.2242 , 260.6034,<LOD,50.6787,15486.1914 , 2046.0287,1604.3124 , 105.8235,2136.6880 , 40.4276,62830.3516 , 271.8511,,,,,,,,
23,Mining,21.73,9.82,9.67,,,"Tue Feb 11, 2025 - 00:47:35",User,1,ppm,,,,,20250131-1,Mining,<LOD,8.2973,<LOD,2.3692,<LOD,4.2762,895189.3125 , 676.3870,<LOD,2.1437,<LOD,8.9176,<LOD,117.7239,111.5046 , 8.3241,<LOD,6.9813,28630.1113 , 155.8726,<LOD,0.0000,<LOD,3.3784,436.5260 , 38.3163,2.6765 , 1.1337,33.5742 , 1.1706,104.0716 , 10.6418,<LOD,2.0933,<LOD,8.2202,13.5262 , 1.6529,<LOD,0.0000,<LOD,14.5662,<LOD,1.2842,<LOD,9.7543,1895.8662 , 5.1398,<LOD,0.0000,<LOD,3.3047,5913.2085 , 58.2751,<LOD,5.8002,174.6108 , 16.2334,<LOD,12.0885,13.9981 , 0.9297,45.2220 , 3.8554,74.1543 , 3.0621,64223.3008 , 270.5661,3138.4016 , 89.0656,,,,,,,,,,,,,,,,,,,,,,
24,Mining,0.55,0.00,,,,"Tue Feb 11, 2025 - 00:48:16",User,1,ppm,,,,,20250131-1,Mining,<LOD,106.7627,<LOD,3.4173,<LOD,1.4028,917902.0000 , 7652.5576,<LOD,19.7009,<LOD,118.2801,<LOD,2077.0270,<LOD,560.2774,<LOD,191.3170,62763.1133 , 2507.3015,<LOD,0.0000,<LOD,65.9111,<LOD,1020.5704,<LOD,23.2184,63.2989 , 17.8020,<LOD,470.4252,<LOD,5.3371,<LOD,110.7131,<LOD,26.0554,<LOD,0.0000,<LOD,195.7921,<LOD,0.6566,<LOD,127.3617,669.3214 , 40.4048,<LOD,0.0000,<LOD,37.0628,18513.3926 , 4538.6226,<LOD,32.7962,<LOD,1595.7933,<LOD,40.8990,<LOD,23.3219,<LOD,112.0431,88.8518 , 29.4289,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Mining,106.31,,,,,"Tue Feb 11, 2025 - 00:50:34",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.1636,<LOD,1.6356,<LOD,3.5771,553292.3750 , 4470.8110,<LOD,1.9594,<LOD,1.5738,<LOD,99.0793,467.4654 , 6.2950,19.5017 , 6.1313,71968.1875 , 195.1004,<LOD,0.0000,<LOD,3.8785,807.9036 , 40.4020,<LOD,1.4400,30.4290 , 1.0030,1422.7415 , 22.9362,6.6469 , 1.3043,<LOD,0.8587,15.1261 , 1.1616,<LOD,0.0000,<LOD,2.9195,<LOD,1.0640,11.6573 , 1.7156,584.8987 , 2.5912,<LOD,0.0000,<LOD,1.5311,7749.6221 , 36.2325,<LOD,4.7943,149.6776 , 9.8651,<LOD,16.7872,11.0791 , 0.7457,63.5028 , 3.9841,109.9576 , 2.0015,42634.0820 , 139.4450,4007.3762 , 53.6990,21833.6504 , 492.3605,534.2350 , 15.1626,<LOD,30.4795,117411.8828 , 2900.6980,1336.3472 , 74.8332,1122.2634 , 22.7239,174409.4062 , 302.0329,,,,,,,,
26,Mining,101.00,0.00,9.57,29.55,29.88,"Tue Feb 11, 2025 - 00:54:00",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.2362,<LOD,2.0601,<LOD,4.6488,556364.5000 , 5485.1372,<LOD,2.4889,<LOD,1.7838,<LOD,143.2751,236.8384 , 5.6299,35.4732 , 7.2047,127588.2188 , 267.4398,<LOD,0.0000,<LOD,6.1336,1007.5507 , 45.6893,<LOD,1.5732,14.3366 , 0.9845,1212.9908 , 25.8996,<LOD,2.1828,<LOD,1.0067,16.3110 , 1.1872,<LOD,0.0000,<LOD,3.4640,<LOD,1.4399,26.9314 , 2.0698,288.5350 , 2.0882,<LOD,0.0000,<LOD,1.2329,3602.8765 , 28.3451,<LOD,3.0312,88.2833 , 7.8678,<LOD,17.6752,5.0015 , 0.7539,112.7008 , 5.6749,60.6688 , 1.7239,22264.7598 , 113.7979,2840.0535 , 51.1521,14661.5898 , 506.0151,539.1901 , 17.8074,<LOD,30.1414,122524.5781 , 3562.3872,947.6701 , 69.2161,1798.6776 , 27.1642,143762.3125 , 298.8949,,,,,,,,
27,Mining,98.02,0.00,8.98,0.00,29.72,"Tue Feb 11, 2025 - 01:27:23",User,1,ppm,,,,,20250131-1,Mining,<LOD,0.9504,<LOD,3.8636,<LOD,3.9916,443855.5938 , 3625.8987,<LOD,2.2144,<LOD,1.4333,<LOD,70.3869,70.1517 , 2.9552,13.3420 , 4.4854,26478.9980 , 148.5429,<LOD,0.0000,<LOD,4.6218,570.1210 , 39.4590,<LOD,2.6369,95.4341 , 1.5764,30.1287 , 7.6101,29.3588 , 1.9036,<LOD,0.8145,211.6603 , 2.8403,<LOD,0.0000,<LOD,2.6895,<LOD,1.2051,26.4141 , 1.6215,9.4369 , 0.4994,<LOD,0.0000,18.6448 , 1.6031,2351.7114 , 17.2984,<LOD,4.3742,41.5892 , 4.5049,<LOD,14.8804,109.8946 , 1.8317,133.2737 , 5.5854,1226.2986 , 4.9263,2628.5278 , 44.3223,52709.2305 , 131.0581,104050.5703 , 627.8544,151.0002 , 12.7288,<LOD,29.7769,4900.1973 , 1146.2026,<LOD,100.6467,<LOD,28.0841,360288.4062 , 387.9595,,,,,,,,
28,Mining,106.54,0.00,9.22,0.00,29.57,"Tue Feb 11, 2025 - 01:30:42",User,1,ppm,,,,,20250131-1,Mining,<LOD,1.1326,<LOD,3.8442,<LOD,3.8858,526550.6250 , 3406.8403,<LOD,2.1276,<LOD,1.7069,<LOD,60.4034,121.3377 , 3.1246,10.6175 , 4.5535,19276.2500 , 126.8610,<LOD,0.0000,<LOD,3.8371,590.0782 , 40.7241,<LOD,2.6254,83.1347 , 1.5116,30.5031 , 7.5096,30.2110 , 1.9241,<LOD,0.9799,190.8539 , 2.6621,<LOD,0.0000,<LOD,3.3011,<LOD,1.3090,38.2530 , 2.0123,12.0407 , 0.5296,<LOD,0.0000,22.7451 , 1.6116,2417.4565 , 18.4580,<LOD,3.9379,35.7943 , 4.6180,<LOD,10.6557,133.6131 , 1.9003,115.1899 , 5.2238,1244.7783 , 4.7779,3148.1255 , 42.5738,41569.3789 , 114.4176,61774.0781 , 541.0216,236.3443 , 15.8541,<LOD,28.2245,<LOD,1503.7791,<LOD,122.4736,<LOD,29.0145,342368.5938 , 372.2094,,,,,,,,
