"Worksheet exported from: C:\Users\MIT MRL SEF\Documents\Agilent\ICP Expert\My Results\jwalker\20260317_ICP.esws"
"Instrument name","MY15470004"
"Software version","7.6.1.12212"
"Firmware version","5590"

""
"Label","Rack:Tube","Type","Date Time","Element","Element Label","Flags","Unadjusted Data","Concentration","Unit","Intensity","Concentration SD","Concentration % RSD","Intensity SD","Intensity % RSD","%RSE","Weight","Volume","Dilution","Internal Standard","Calibration fit","Correlation coefficient","Background correction","%RSE limit","Calibration Coefficient [1]","Calibration Coefficient [2]","Calibration Coefficient [3]","LIMS ID","Customer","Customer Ref.","Sample Date Time","Sample Site","Description","Replicates","Concentration Replicate 1","Concentration Replicate 2","Concentration Replicate 3","Intensity Replicate 1","Intensity Replicate 2","Intensity Replicate 3","Flags Replicate 1","Flags Replicate 2","Flags Replicate 3"
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Co 228.615","Co","!","0.10","0.10","ppm","36.10","-","-","6.50","18.02","723.02","-","-","-","-","Linear","0.99994","Fitted","2000.00000","6.89321332884194","26.0203216129372","-","","","","","","","3","0.10","0.10","0.10","36.94","42.14","29.21","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Co 230.786","Co","!","--","--","ppm","-","-","-","-","N/A","5.15","-","-","-","-","Linear","0.99998","Fitted","2000.00000","5.73946835547142","28.165304393011","-","","","","","","","3","","","","","","","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Cr 267.716","Cr","!","0.10","0.10","ppm","206.13","-","-","5.17","2.51","1282.75","-","-","-","-","Linear","0.99981","Fitted","2000.00000","30.5666384344329","91.7275430079795","-","","","","","","","3","0.10","0.10","0.10","200.16","209.10","209.13","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Cr 283.563","Cr","!","0.10","0.10","ppm","409.44","-","-","7.05","1.72","1255.80","-","-","-","-","Linear","0.99985","Fitted","2000.00000","12.3122376959177","211.693417703192","-","","","","","","","3","0.10","0.10","0.10","401.30","413.45","413.56","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Cu 224.700","Cu","!","0.10","0.10","ppm","33.22","-","-","3.58","10.77","1591.40","-","-","-","-","Linear","0.99971","Fitted","2000.00000","8.12357733186202","10.6765575550816","-","","","","","","","3","0.10","0.10","0.10","33.36","29.57","36.72","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Cu 324.754","Cu","!","0.10","0.10","ppm","214.04","-","-","22.59","10.55","734.73","-","-","-","-","Linear","0.99995","Fitted","2000.00000","11.2006731183329","178.074150124956","-","","","","","","","3","0.10","0.10","0.10","227.74","226.41","187.96","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Cu 327.395","Cu","!","0.10","0.10","ppm","379.32","-","-","3.75","0.99","592.10","-","-","-","-","Linear","0.99989","Fitted","2000.00000","191.282274162999","201.359354426859","-","","","","","","","3","0.10","0.10","0.10","381.78","381.18","374.99","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Fe 234.350","Fe","!","0.10","0.10","ppm","137.31","-","-","2.02","1.47","1418.85","-","-","-","-","Linear","0.99940","Fitted","2000.00000","66.7125124573333","33.6243983043312","-","","","","","","","3","0.10","0.10","0.10","135.00","138.18","138.75","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","La 333.749","La","!","0.10","0.10","ppm","338.10","-","-","31.99","9.46","1063.58","-","-","-","-","Linear","0.99989","Fitted","2000.00000","25.1503287134273","195.095531030046","-","","","","","","","3","0.10","0.10","0.10","344.18","366.63","303.51","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","La 379.082","La","!","0.10","0.10","ppm","311.19","-","-","9.64","3.10","844.06","-","-","-","-","Linear","0.99992","Fitted","2000.00000","38.9128854208753","210.468932124098","-","","","","","","","3","0.10","0.10","0.10","321.61","309.36","302.60","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","La 379.477","La","!","0.10","0.10","ppm","360.23","-","-","21.98","6.10","867.38","-","-","-","-","Linear","0.99992","Fitted","2000.00000","34.4162110222676","245.59263418217","-","","","","","","","3","0.10","0.10","0.10","383.56","357.21","339.92","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","La 398.852","La","!","0.10","0.10","ppm","619.08","-","-","35.44","5.72","902.50","-","-","-","-","Linear","0.99991","Fitted","2000.00000","47.4621203694767","415.327814753767","-","","","","","","","3","0.10","0.10","0.10","637.70","641.34","578.21","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","La 408.671","La","!","0.10","0.10","ppm","693.80","-","-","18.95","2.73","658.86","-","-","-","-","Linear","0.99994","Fitted","2000.00000","102.036681366988","573.588305950178","-","","","","","","","3","0.10","0.10","0.10","714.32","676.96","690.13","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Mg 279.800","Mg","!","--","--","ppm","-","-","-","-","N/A","16.32","-","-","-","-","Linear","0.99998","Fitted","2000.00000","8.42655037886288","16.7476565577313","-","","","","","","","3","","","","","","","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Mg 285.213","Mg","!e","0.10","0.10","ppm","1126.64","-","-","5.89","0.52","3313.69","-","-","-","-","Linear","0.99864","Fitted","2000.00000","212.485123528205","191.009475881856","-","","","","","","","3","","0.10","0.10","","1130.81","1122.48","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Mn 257.610","Mn","!","0.10","0.10","ppm","1061.80","-","-","24.75","2.33","1359.50","-","-","-","-","Linear","0.99980","Fitted","2000.00000","14.6361562958434","517.730924154836","-","","","","","","","3","0.10","0.10","0.10","1047.92","1090.37","1047.12","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Mn 259.372","Mn","!","0.10","0.10","ppm","943.68","-","-","24.45","2.59","1241.86","-","-","-","-","Linear","0.99984","Fitted","2000.00000","32.2412321515306","491.012883275296","-","","","","","","","3","0.10","0.10","0.10","947.65","965.90","917.49","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Mn 260.568","Mn","!","0.10","0.10","ppm","171.43","-","-","4.52","2.63","950.75","-","-","-","-","Linear","0.99987","Fitted","2000.00000","39.4536996286538","91.3807374125123","-","","","","","","","3","0.10","0.10","0.10","172.01","175.63","166.66","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Mn 293.931","Mn","!","0.10","0.10","ppm","342.75","-","-","9.83","2.87","1103.53","-","-","-","-","Linear","0.99987","Fitted","2000.00000","26.1759018489406","190.638776736735","-","","","","","","","3","0.10","0.10","0.10","354.08","337.66","336.51","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Mn 294.921","Mn","!","0.10","0.10","ppm","467.84","-","-","2.59","0.55","1019.24","-","-","-","-","Linear","0.99985","Fitted","2000.00000","182.989578766343","184.986981946955","-","","","","","","","3","0.10","0.10","0.10","464.85","469.23","469.44","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Na 589.592","Na","!","--","--","ppm","-","-","-","-","N/A","48.09","-","-","-","-","Linear","0.99987","Fitted","2000.00000","7167.33308626705","1063.04407332545","-","","","","","","","3","","","","","","","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Nd 386.341","Nd","!","0.10","0.10","ppm","125.04","-","-","25.68","20.53","941.34","-","-","-","-","Linear","0.99990","Fitted","2000.00000","52.7092508755967","50.5399126182653","-","","","","","","","3","0.10","0.10","0.10","152.85","102.24","120.03","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Nd 401.224","Nd","!","0.10","0.10","ppm","392.17","-","-","11.45","2.92","2310.50","-","-","-","-","Linear","0.99925","Fitted","2000.00000","142.019272647277","74.3029243550927","-","","","","","","","3","0.10","0.10","0.10","403.49","380.60","392.43","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Nd 406.108","Nd","!","0.10","0.10","ppm","148.85","-","-","23.42","15.74","1002.14","-","-","-","-","Linear","0.99990","Fitted","2000.00000","28.4407376245412","79.36141261221","-","","","","","","","3","0.10","0.10","0.10","131.70","139.31","175.54","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Nd 410.945","Nd","!","0.10","0.10","ppm","110.07","-","-","13.41","12.19","928.82","-","-","-","-","Linear","0.99988","Fitted","2000.00000","34.753115013048","53.2970770459808","-","","","","","","","3","0.10","0.10","0.10","106.69","98.66","124.84","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Ni 231.604","Ni","!","0.10","0.10","ppm","40.25","-","-","3.80","9.43","1205.80","-","-","-","-","Linear","0.99977","Fitted","2000.00000","11.2162591253129","16.0873016049951","-","","","","","","","3","0.10","0.10","0.10","40.11","44.11","36.53","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Pb 220.353","Pb","!","--","--","ppm","-","-","-","-","N/A","28.50","-","-","-","-","Linear","0.99996","Fitted","2000.00000","3.82226528277242","5.29314458038638","-","","","","","","","3","","","","","","","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Sc 335.372","Sc","!","0.10","0.10","ppm","1157.44","-","-","24.16","2.09","950.86","-","-","-","-","Linear","0.99991","Fitted","2000.00000","72.8853318742149","750.712712568496","-","","","","","","","3","0.10","0.10","0.10","1141.08","1185.19","1146.05","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Sc 357.634","Sc","!","0.10","0.10","ppm","1112.16","-","-","16.41","1.48","832.27","-","-","-","-","Linear","0.99993","Fitted","2000.00000","37.9449936757591","841.202616627046","-","","","","","","","3","0.10","0.10","0.10","1116.96","1125.63","1093.88","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Sc 363.074","Sc","!","0.10","0.10","ppm","600.75","-","-","9.66","1.61","683.47","-","-","-","-","Linear","0.99993","Fitted","2000.00000","73.4687946605647","494.396616437467","-","","","","","","","3","0.10","0.10","0.10","601.10","610.23","590.93","","",""
"Standard 1","S1:14","STD","3/5/2026 8:45:20 AM","Sc 424.682","Sc","!","0.10","0.10","ppm","1221.72","-","-","25.36","2.08","616.59","-","-","-","-","Linear","0.99995","Fitted","2000.00000","36.7379179139163","1219.1733116614","-","","","","","","","3","0.10","0.10","0.10","1208.76","1250.94","1205.46","","",""
